label,mode,tool,round,ms,status
stress,core-combined,rslint,0,7197.682163999998,1
stress,core-combined,oxlint,0,5674.182155999995,1
fixture,core-ts,rslint,0,291.6611869999906,0
fixture,core-combined,eslint,0,2984.6998759999988,1
stress,core-ts,eslint,0,25138.997569999978,0
fixture,core-ts,eslint,0,2887.915573000035,0
fixture,core-ts,oxlint,0,353.2417940000305,0
stress,core-ts,rslint,0,3855.2287690000376,0
stress,core-combined,eslint,0,27687.67682599998,1
stress,core-ts,oxlint,0,3942.010714999982,0
fixture,core-combined,rslint,0,836.6062350000138,1
fixture,core-combined,oxlint,0,685.761698999966,1
stress,core-combined,eslint,1,27411.848776999977,1
stress,core-combined,rslint,1,7061.076401999977,1
fixture,core-ts,eslint,1,2820.9848429999547,0
stress,core-ts,oxlint,1,4027.7995809999993,0
stress,core-ts,rslint,1,3676.8406520000426,0
stress,core-ts,eslint,1,24509.488592999987,0
fixture,core-combined,oxlint,1,654.3151859999634,1
fixture,core-combined,rslint,1,841.4439950000378,1
stress,core-combined,oxlint,1,5652.704456999956,1
fixture,core-ts,rslint,1,309.39198499999475,0
fixture,core-combined,eslint,1,3008.579650999978,1
fixture,core-ts,oxlint,1,325.4003280000179,0
stress,core-combined,oxlint,2,5663.215250999958,1
fixture,core-combined,oxlint,2,694.0145740000298,1
stress,core-ts,oxlint,2,3968.2255219999934,0
stress,core-combined,eslint,2,26914.481565000024,1
fixture,core-ts,eslint,2,2872.2330989999464,0
stress,core-combined,rslint,2,7156.4063580000075,1
fixture,core-ts,oxlint,2,360.5094650000101,0
fixture,core-ts,rslint,2,313.9359790000017,0
fixture,core-combined,eslint,2,2965.232197000005,1
fixture,core-combined,rslint,2,827.2896630000323,1
stress,core-ts,eslint,2,24810.444665999967,0
stress,core-ts,rslint,2,3636.5445419999887,0
stress,core-combined,oxlint,3,6092.976462999999,1
fixture,core-ts,eslint,3,2903.997413999983,0
fixture,core-ts,oxlint,3,348.08746700000484,0
stress,core-ts,oxlint,3,4003.2254149999935,0
stress,core-combined,rslint,3,7134.716353000025,1
fixture,core-ts,rslint,3,312.5348170000361,0
fixture,core-combined,rslint,3,832.7629430000088,1
stress,core-ts,rslint,3,3660.2300490000052,0
stress,core-ts,eslint,3,25691.791467000032,0
stress,core-combined,eslint,3,28371.495344999945,1
fixture,core-combined,eslint,3,3069.196957999957,1
fixture,core-combined,oxlint,3,688.0524219999788,1
stress,core-ts,rslint,4,3720.7832260000287,0
stress,core-combined,oxlint,4,5968.342288999935,1
stress,core-combined,eslint,4,28470.675971999997,1
fixture,core-ts,oxlint,4,353.1256580000045,0
stress,core-ts,oxlint,4,3895.2211159999715,0
fixture,core-combined,oxlint,4,663.6638890000759,1
fixture,core-combined,eslint,4,3042.27279800002,1
fixture,core-ts,rslint,4,303.1806670000078,0
stress,core-combined,rslint,4,7292.038246000069,1
fixture,core-combined,rslint,4,822.5519290000666,1
fixture,core-ts,eslint,4,2872.442459999933,0
stress,core-ts,eslint,4,25605.92872899992,0
fixture,core-combined,rslint,5,815.1140850000083,1
stress,core-ts,oxlint,5,3657.0703280000016,0
stress,core-ts,rslint,5,3958.6308449999196,0
fixture,core-ts,oxlint,5,347.6061289999634,0
stress,core-ts,eslint,5,25784.169697999954,0
stress,core-combined,oxlint,5,5993.512677000021,1
stress,core-combined,rslint,5,7128.734360000002,1
fixture,core-ts,rslint,5,299.65085899992846,0
fixture,core-ts,eslint,5,2906.6545860000188,0
stress,core-combined,eslint,5,27334.838861000026,1
fixture,core-combined,eslint,5,3015.090786000015,1
fixture,core-combined,oxlint,5,687.5666280000005,1
fixture,core-ts,eslint,6,2830.2200380000286,0
fixture,core-ts,rslint,6,305.98491900006775,0
stress,core-combined,eslint,6,27430.73363000003,1
fixture,core-ts,oxlint,6,354.3854430000065,0
fixture,core-combined,eslint,6,3014.2655830000294,1
fixture,core-combined,oxlint,6,667.0159660000354,1
fixture,core-combined,rslint,6,825.1746390000917,1
stress,core-combined,oxlint,6,5658.551951000001,1
stress,core-ts,rslint,6,3962.8252929999726,0
stress,core-ts,eslint,6,25467.810456000036,0
stress,core-ts,oxlint,6,4055.282390999957,0
stress,core-combined,rslint,6,7229.00628500001,1
fixture,core-ts,rslint,7,306.0490850000642,0
fixture,core-ts,eslint,7,2847.3649720000103,0
stress,core-combined,eslint,7,27066.281139999977,1
fixture,core-combined,rslint,7,801.1712680000346,1
stress,core-combined,rslint,7,7055.283668000018,1
stress,core-ts,rslint,7,3740.9157109999796,0
fixture,core-combined,eslint,7,3054.4016529999208,1
stress,core-ts,oxlint,7,3983.0251179999905,0
stress,core-ts,eslint,7,25367.30410499999,0
fixture,core-combined,oxlint,7,695.7812420000555,1
fixture,core-ts,oxlint,7,339.9794169999659,0
stress,core-combined,oxlint,7,5761.997667000047,1
stress,core-ts,eslint,8,24622.546725000022,0
fixture,core-ts,oxlint,8,338.4860819999594,0
fixture,core-ts,eslint,8,2922.4987360000378,0
fixture,core-combined,rslint,8,870.5841550000478,1
stress,core-combined,rslint,8,7207.56196099997,1
stress,core-ts,oxlint,8,3945.8296329999575,0
fixture,core-ts,rslint,8,295.616326999967,0
fixture,core-combined,oxlint,8,686.5780430000741,1
stress,core-combined,eslint,8,27219.26030299999,1
stress,core-combined,oxlint,8,6056.448784000007,1
stress,core-ts,rslint,8,3951.577369000064,0
fixture,core-combined,eslint,8,2994.5418109999737,1
fixture,core-combined,rslint,9,831.3193619999802,1
stress,core-combined,oxlint,9,5869.967397000059,1
fixture,core-combined,eslint,9,2991.4073420000495,1
fixture,core-ts,eslint,9,2824.9133810000494,0
stress,core-ts,eslint,9,25633.717972000013,0
fixture,core-combined,oxlint,9,680.9242709999671,1
stress,core-combined,eslint,9,26477.474129999988,1
stress,core-ts,oxlint,9,3672.447048999951,0
fixture,core-ts,oxlint,9,350.2510200000834,0
fixture,core-ts,rslint,9,315.3619680000702,0
stress,core-combined,rslint,9,7131.857818000019,1
stress,core-ts,rslint,9,3630.257532999851,0
fixture,core-ts,oxlint,10,351.3818920000922,0
stress,core-ts,eslint,10,25388.799715000205,0
stress,core-combined,oxlint,10,6017.174563999986,1
stress,core-combined,eslint,10,26996.445906999987,1
fixture,core-combined,eslint,10,2986.7849570000544,1
fixture,core-ts,eslint,10,2877.4832049999386,0
stress,core-combined,rslint,10,7091.933923000004,1
stress,core-ts,rslint,10,3633.9285430000164,0
fixture,core-combined,oxlint,10,683.1170289998408,1
fixture,core-ts,rslint,10,294.9572680001147,0
fixture,core-combined,rslint,10,833.06715300004,1
stress,core-ts,oxlint,10,3635.4201390000526,0
fixture,core-ts,oxlint,11,347.8734509998467,0
fixture,core-ts,rslint,11,304.23589299991727,0
fixture,core-combined,eslint,11,3009.7693709998857,1
stress,core-combined,oxlint,11,6014.393281999975,1
fixture,core-ts,eslint,11,2872.7315889999736,0
stress,core-combined,eslint,11,26982.550927999895,1
stress,core-ts,eslint,11,25276.26283999998,0
stress,core-combined,rslint,11,7114.161248999881,1
stress,core-ts,rslint,11,3715.842249999987,0
fixture,core-combined,rslint,11,828.7754919999279,1
fixture,core-combined,oxlint,11,688.1582420000341,1
stress,core-ts,oxlint,11,4029.42862599995,0
fixture,core-ts,oxlint,12,349.0553830000572,0
stress,core-ts,rslint,12,3693.6889480000827,0
stress,core-ts,eslint,12,25254.54472399992,0
fixture,core-combined,eslint,12,2973.9591030001175,1
stress,core-combined,oxlint,12,5985.179095000029,1
stress,core-combined,eslint,12,27047.009560999926,1
fixture,core-combined,oxlint,12,657.1220899999607,1
fixture,core-ts,eslint,12,2895.422350999899,0
stress,core-ts,oxlint,12,3996.3054080000147,0
fixture,core-combined,rslint,12,848.3129200001713,1
fixture,core-ts,rslint,12,303.61975500010885,0
stress,core-combined,rslint,12,7163.473578999983,1
stress,core-ts,oxlint,13,3649.5037090000696,0
fixture,core-ts,eslint,13,2859.66150799999,0
stress,core-ts,eslint,13,25075.28507099999,0
stress,core-combined,rslint,13,7023.264773000032,1
fixture,core-combined,oxlint,13,653.310734000057,1
fixture,core-ts,rslint,13,304.6198400000576,0
fixture,core-ts,oxlint,13,366.01239199982956,0
fixture,core-combined,eslint,13,2980.0379289998673,1
fixture,core-combined,rslint,13,832.0595070000272,1
stress,core-combined,eslint,13,26973.025105999783,1
stress,core-ts,rslint,13,3610.0056259999983,0
stress,core-combined,oxlint,13,6029.424607999856,1
fixture,core-ts,eslint,14,2885.658545000013,0
